exam	section	question	page	source	image	width	height
2026 수능	공통	2	1	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 02번.png	963	283
2026 수능	공통	3	1	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 03번.png	1016	262
2026 수능	공통	4	1	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 04번.png	960	445
2026 수능	공통	5	2	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 05번.png	1016	183
2026 수능	공통	6	2	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 06번.png	912	452
2026 수능	공통	7	2	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 07번.png	928	1121
2026 수능	공통	8	3	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 08번.png	1016	331
2026 수능	공통	9	3	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 09번.png	1016	426
2026 수능	공통	10	3	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 10번.png	1015	461
2026 수능	공통	11	4	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 11번.png	1014	1017
2026 수능	공통	12	4	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 12번.png	926	416
2026 수능	공통	13	5	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 13번.png	943	415
2026 수능	공통	14	5	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 14번.png	1015	1501
2026 수능	공통	15	6	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 15번.png	932	998
2026 수능	공통	16	6	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 16번.png	869	288
2026 수능	공통	17	6	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 17번.png	898	148
2026 수능	공통	18	7	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 18번.png	778	182
2026 수능	공통	19	7	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 19번.png	908	275
2026 수능	공통	20	7	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 20번.png	1016	1855
2026 수능	공통	21	8	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 21번.png	1017	990
2026 수능	공통	22	8	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/공통/2026 수능 공통 22번.png	997	511
2026 수능	확통	23	9	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 23번.png	962	235
2026 수능	확통	24	9	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 24번.png	928	446
2026 수능	확통	25	10	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 25번.png	993	874
2026 수능	확통	26	10	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 26번.png	922	467
2026 수능	확통	27	11	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 27번.png	983	536
2026 수능	확통	28	11	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 28번.png	1017	1245
2026 수능	확통	29	12	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 29번.png	1019	1028
2026 수능	확통	30	12	평가원 수학/2026 수능/2026 수능 확통.pdf	평가원 수학/2026 수능/Questions/확통/2026 수능 확통 30번.png	1017	583
2026 수능	미적	23	9	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 23번.png	898	220
2026 수능	미적	24	9	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 24번.png	912	273
2026 수능	미적	25	10	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 25번.png	912	489
2026 수능	미적	26	10	평가원 수학/2026 수능/2026 수능 미적.pdf	평가원 수학/2026 수능/Questions/미적/2026 수능 미적 26번.png	986	1079
